,China,France,United Kingdom,India,Pakistan,North Korea,Russian Federation,United States
1960,,54.47314779,2.27318592,,,,,18.43989901
1961,,48.46777828,2.626573067,,,,,18.27123114
1962,,41.60566354,2.339886251,,,,,18.88088527
1963,,47.70214611,1.893450383,,,,,17.25541535
1964,,35.64881863,1.957421709,,,,,17.16015182
1965,,44.17252493,2.132290948,,,,,17.5241366
1966,,47.10367917,1.99098925,,,,,16.24908833
1967,,38.81474257,2.110355195,,,,,17.44788668
1968,,40.89603816,1.597811488,,,,,15.92924126
1969,,38.50232761,1.348460074,,,,,16.53080852
1970,,38.60048222,1.809172063,,,,,15.4246806
1971,21.57311127,31.34251744,1.312970175,42.22402989,48.5868991,61.64199192,,15.46889126
1972,22.12749341,28.51735679,1.290496904,38.57706053,48.5868991,59.28753181,,14.63922438
1973,22.52666149,26.12926557,1.371236032,39.80850596,51.98758505,57.17732207,,13.5020496
1974,25.21121723,30.08985962,1.492646897,36.36245077,45.73036187,55.27522936,,15.53505149
1975,22.69517854,32.43602059,1.385206248,38.76707865,43.84870737,53.55191257,,15.06976074
1976,22.09730568,23.58433281,1.33973169,36.44198086,52.6744186,52.75423729,,13.40265496
1977,21.03439743,36.26134474,1.373655628,38.43098011,47.66939413,52.004111,,9.972837066
1978,17.38438991,30.22308696,1.394600331,42.83340446,60.13737374,51.29740519,,12.22663896
1979,17.769108,27.6139544,1.421420081,40.32228043,58.0781713,50.63045587,,11.97548124
1980,19.36267172,27.01664931,1.369727991,38.66571436,58.19420329,50,,11.48513587
1981,21.19507227,26.18945688,1.571032574,37.46920577,56.30058523,49.40312213,,10.80379184
1982,22.70507813,25.33756123,1.667427377,34.19798985,53.85006784,48.8372093,,13.14063792
1983,24.57318461,23.50867927,1.651866878,32.88821613,57.699142,48.29991282,,13.69724463
1984,22.99477994,20.35654403,1.421917574,31.39730395,58.63850409,47.78911565,,12.65664185
1985,22.49141688,18.07481448,1.387762581,27.42764098,53.21479807,49.00398406,,10.83019411
1986,21.0286299,17.3288072,1.592089659,26.40522427,53.94505452,51.38339921,,11.12813309
1987,20.11181049,18.72745337,1.371484266,21.39026347,53.13033481,52.10727969,,8.716624951
1988,20.01980888,19.60936059,1.608443595,23.6918795,50.43667462,53.76344086,,7.292195146
1989,20.24418187,11.55714264,1.518829456,22.85794171,49.04482529,51.36986301,,8.189588751
1990,20.39699453,12.91134447,1.638683892,24.47836246,44.92607438,56.31768953,15.33213449,8.528502913
1991,18.46006272,12.75475408,1.438920561,22.79518631,44.55886649,57.03422053,15.6880551,8.854523502
1992,17.5673113,14.99007632,1.70066323,20.72655339,43.25343167,57.48987854,17.04030939,7.777509733
1993,18.10820385,13.81761893,1.337416256,19.53137774,38.37617976,60.18099548,18.14362636,8.353186772
1994,18.03403196,16.60243619,1.567268879,21.1679243,42.68135562,59.74025974,20.00020574,7.612425873
1995,18.9080616,14.8857596,1.455085732,17.1354388,40.74301666,61.73913043,20.41975447,8.827515039
1996,17.40039251,12.9711682,0.971335164,15.55873065,35.27780127,58.68544601,18.12032154,9.611080497
1997,17.25372572,12.72798044,1.193940088,15.79531944,35.49191537,55.44041451,18.79367335,9.072904129
1998,17.81584582,12.24071789,1.417418349,16.47698962,34.31099835,60,19.18410921,7.782749078
1999,16.43701605,13.91190572,1.46091718,14.81448229,29.32198237,55.37634409,18.98533975,7.174470098
2000,16.40538216,12.40003438,1.358530885,13.07066324,25.24223384,52.57731959,18.72024991,6.289399722
2001,18.73339325,13.61982519,1.060758222,12.52985951,26.15076626,52.47524752,19.5538679,4.90388871
2002,17.40903562,10.90927154,1.244685968,11.20700669,29.52419951,53.70145631,18.24072991,6.63207993
2003,14.84653972,10.49752094,0.816003479,12.41509011,33.33415811,55.81483951,17.03568085,6.87134694
2004,16.04464167,10.47194528,1.237738897,13.23292266,29.97932943,56.88799891,18.90763035,6.535987734
2005,15.87772039,9.012447261,1.244733528,15.07847346,32.96200963,57.31494413,18.15437797,6.382108498
2006,15.2056174,9.887747791,1.167424955,15.55627927,32.53438954,56.25139291,17.44230856,6.827327462
2007,14.78656465,10.21796432,1.291952841,15.52570963,30.00909462,61.70143567,17.47070996,5.772985824
2008,16.87787066,11.19088892,1.33591456,13.76817488,30.32658051,60.62486533,15.86653326,5.911010412
2009,16.5714641,10.74071492,1.401341836,12.33356081,29.46086811,59.16599612,17.59344272,6.616179258
2010,16.94897365,11.11371027,0.941930575,12.56565137,33.70380573,61.85376662,16.06798853,6.023062386
2011,14.62413023,8.050505504,1.56062359,13.36223263,29.98948365,68.65702694,15.74965266,7.43610219
2012,17.30873395,10.48464427,1.468100414,11.08936476,31.06059818,70.18091079,15.51444713,6.521155808
2013,16.73134903,12.46870305,1.323307255,12.3886605,30.62473577,75.82369627,17.12867664,6.317909904
2014,18.55249398,11.26193545,1.757567262,11.08015726,30.35293678,72.58920096,16.49831079,6.053798474
2015,19.06981297,9.661149897,1.869745151,9.982039098,30.67264412,72.79609813,15.76476859,5.84163826
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,